,type,year,party,vague_score,decade,subj_score,emot_score
874,PMQs,1990-03-13,CON,0.17409843251153082,1990,0.09696737465585026,0.16447422398759576
875,PMQs,1990-03-15,CON,0.17665483157415685,1990,0.08874842027021514,0.16732263352509882
876,PMQs,1990-03-20,CON,0.17618400876906568,1990,0.09920962106089491,0.16811844855879288
877,PMQs,1990-03-22,CON,0.17667128691949435,1990,0.0895787446970709,0.16267249811785572
878,PMQs,1990-03-27,CON,0.17481719615396832,1990,0.08876626407146548,0.1669891804425318
879,PMQs,1990-03-29,CON,0.17693064396514646,1990,0.09383923559321922,0.1617136987585118
880,PMQs,1990-04-03,CON,0.1750278147618749,1990,0.09545216224866371,0.16311280270402514
881,PMQs,1990-04-24,CON,0.1751071161732824,1990,0.08872098289269381,0.16554143702380378
882,PMQs,1990-04-26,CON,0.17451820579135308,1990,0.11018133971283055,0.16176457010342118
883,PMQs,1990-05-01,CON,0.17699397847283535,1990,0.09063045509075215,0.15717123852531784
884,PMQs,1990-05-03,CON,0.1751483385589798,1990,0.09626234996201646,0.16650927460765702
885,PMQs,1990-05-08,CON,0.1741524472102253,1990,0.09623576907764682,0.16280155710583444
886,PMQs,1990-05-10,CON,0.17501271806368335,1990,0.0866562264094926,0.16633566750699338
887,PMQs,1990-05-15,CON,0.17350083869342733,1990,0.10409991924495988,0.16476594756432675
888,PMQs,1990-05-17,CON,0.176061178169595,1990,0.09246778242868774,0.16849431491455263
889,PMQs,1990-05-22,CON,0.1769930746246438,1990,0.10000525047072602,0.16630723659660315
890,PMQs,1990-06-05,CON,0.17544865419688924,1990,0.09808590366484149,0.1678550557819501
891,PMQs,1990-06-12,CON,0.17447156510572978,1990,0.10682843756031157,0.1625996765174151
892,PMQs,1990-06-14,CON,0.1769284806161262,1990,0.10009646334316011,0.16231526904389199
893,PMQs,1990-06-19,CON,0.1757856252848757,1990,0.10083141779610427,0.16370293961296037
894,PMQs,1990-06-21,CON,0.17628886543730476,1990,0.10435931212495689,0.16298240052873628
895,PMQs,1990-06-28,CON,0.17603387808020313,1990,0.10475059066489356,0.16279298107605006
896,PMQs,1990-07-03,CON,0.17572852064536706,1990,0.09073218637221221,0.16425302291860497
897,PMQs,1990-07-12,CON,0.17554987265151925,1990,0.101812759129214,0.16691442803061451
898,PMQs,1990-07-17,CON,0.17496725036656044,1990,0.0949249366180301,0.1645391938533487
899,PMQs,1990-07-19,CON,0.17640859213934243,1990,0.09148936986644442,0.16613339967391247
900,PMQs,1990-07-24,CON,0.17604932904655457,1990,0.10398531385369969,0.1623610578779879
901,PMQs,1990-10-16,CON,0.1756806799150488,1990,0.09188872694988118,0.16971992562921503
902,PMQs,1990-10-18,CON,0.17697537314428455,1990,0.08679912618167575,0.16407071134513238
903,PMQs,1990-10-23,CON,0.17687296155264123,1990,0.08692999296571484,0.16237480685165623
904,PMQs,1990-10-30,CON,0.17534820779122753,1990,0.09003788785788641,0.16665842472174353
905,PMQs,1990-11-13,CON,0.17644673825485455,1990,0.107034417159747,0.16571660104003377
906,PMQs,1990-11-15,CON,0.17664509068814188,1990,0.09275170272784362,0.16269712461784125
907,PMQs,1990-11-22,CON,0.1766373959848439,1990,0.0978758801525234,0.16834812931196114
908,PMQs,1990-11-27,CON,0.1742481459621577,1990,0.0985163431481425,0.1693174733898623
909,PMQs,1990-11-29,CON,0.17561041271684918,1990,0.08667801926183845,0.16571444598255158
910,PMQs,1990-12-04,CON,0.17565226006340473,1990,0.08600214449513785,0.1630924382971007
911,PMQs,1990-12-06,CON,0.17538329949849177,1990,0.0878534991319001,0.1625787177028503
912,PMQs,1990-12-11,CON,0.17541284955002928,1990,0.08757798319776172,0.1657516708755344
913,PMQs,1990-12-13,CON,0.17548551970557918,1990,0.09183939846752301,0.1639516007519777
914,PMQs,1990-12-18,CON,0.1759668646921475,1990,0.08411344080364902,0.16501293443595771
915,PMQs,1991-01-15,CON,0.1753874418628294,1990,0.09021622534215193,0.16655888976033087
916,PMQs,1991-01-17,CON,0.17402839015892274,1990,0.09739598181969959,0.1705555585398301
917,PMQs,1991-01-22,CON,0.17469074242712745,1990,0.09679302651346142,0.16752370779998577
